type,bg,char,avatar,name,text
start,,,,,
dialog,scenes/bg_shanzhong.png,,,,隋开皇九年，隋军渡江灭陈，南北归一。隋文帝命韦洸安抚岭外，岭南俚族首领冼夫人迎接韦洸进入广州，平定岭南。冼夫人立于高台，手持隋文帝册封诏书。
dialog,scenes/xianfuren_people.png,,avatar/xianfuren.png,冼夫人,陛下恩典，册封我为宋康郡夫人，今日起，我将巡视各州，安抚百姓，推行新政。
dialog,scenes/xianfuren_people.png,,avatar/xianfuren.png,冼夫人,（对族人）我等虽为俚人，但既受朝廷册封，当以忠义为本。岭南初定，百废待兴，各族百姓饱受战乱之苦，我等当以仁德安抚，不可苛待。
dialog,scenes/xianfuren_people.png,,avatar/WeiGuang.png,韦洸,夫人深明大义，陛下特命我随行以助夫人。陛下还赐布帛五千段，望夫人训教子孙，遵奉教化。
dialog,scenes/xianfuren_people.png,,avatar/xianfuren.png,冼夫人,有韦将军相助，岭南百姓之幸也。这些赏赐，我当妥善保管，日后陈列于庭，告诫子孙尽忠朝廷。
dialog,scenes/xianfuren_people.png,,avatar/xianfuren.png,冼夫人,明日启程，先去高凉郡。那里是我的故土，也是俚僚聚居之地。只是……我心中隐隐不安，岭南初定，恐有反复。
dialog,scenes/bg_shanzhong_shenye.png,,,,深夜，冼夫人独自一人站在山中，凝望远方的岭南大地，心中思绪万千。突然一名侍卫急匆匆赶来——
dialog,scenes/bg_shanzhong_shenye.png,,avatar/Guard.png,侍卫,夫人！番禺急报！
end,,,,,
