type,bg,char,avatar,name,text
start,,,,,
dialog,scenes/war.png,,,,番禺王仲宣叛乱，围困广州，韦总管被困州城，岭南各地首领纷纷响应。
dialog,scenes/war.png,,avatar/xianfuren.png,冼夫人,冯暄听令！命你率三千精兵驰援广州，解韦总管之围。
dialog,scenes/war.png,,avatar/FengXuan.png,冯暄,孙儿领命！（迟疑）只是……叛将陈佛智与我素有交情，能否……
dialog,scenes/war.png,,avatar/xianfuren.png,冼夫人,军国大事，岂容私情！速去！
dialog,scenes/war.png,,,,十日之后，冯暄未至，广州仍被围困，形势危急。
dialog,scenes/xian_war.png,,avatar/xianfuren.png,冼夫人,什么？冯暄按兵不动，与陈佛智对峙不战？
dialog,scenes/xian_war.png,,avatar/xianfuren.png,冼夫人,临阵犹豫，贻误战机！来人，将冯暄执拿，押送州狱！
dialog,scenes/xian_war.png,,avatar/FengAng.png,冯盎,祖母息怒！孙儿愿率军出战，必斩陈佛智，解广州之围！
dialog,scenes/xian_war.png,,avatar/xianfuren.png,冼夫人,好！冯盎听令：率五千精兵，与鹿愿将军、慕容三藏将军会师，合击叛军！
dialog,scenes/war.png,,,,战场之上，冯盎率军奋勇杀敌，直取陈佛智营地。
dialog,scenes/war.png,,avatar/FengAng.png,冯盎,陈佛智！你背叛朝廷，围攻广州，今日我奉夫人之命，取你首级！
dialog,scenes/war.png,,,,经过众战士浴血奋战，陈佛智终被擒获。
dialog,scenes/war.png,,avatar/xianfuren.png,冼夫人,（披甲乘马，张锦伞，率彀骑护卫裴矩）王仲宣叛乱已平，岭南诸州首领听令：立即归顺朝廷，既往不咎！
dialog,scenes/war.png,,avatar/PeiJu.png,裴矩,苍梧陈坦、冈州冯岑翁、梁化邓马头、藤州李光略、罗州庞靖，上前接旨！
dialog,scenes/war.png,,avatar/ChenTan.png,陈坦,（率众跪拜）我等愿归顺大隋，永世不叛！
dialog,scenes/war.png,,avatar/xianfuren.png,冼夫人,岭南安定，各族和睦，方是百姓之福。望诸位谨记今日誓言。
dialog,scenes/xian_war.png,,avatar/PeiJu.png,裴矩,奉天承运，皇帝诏曰：冼夫人忠勇可嘉，平叛有功，封为谯国夫人，开幕府，赐印章！
dialog,scenes/xian_war.png,,avatar/xianfuren.png,冼夫人,臣谢陛下隆恩！必当尽心竭力，镇守岭南，保境安民！
end,,,,,
