type,bg,char,avatar,name,text
start,,,,,
dialog,scenes/LingNan.png,,avatar/xianfuren.png,冼夫人,（登上五岭，眺望岭南大地）六年巡游，岭南已定。百姓安居，官吏清廉，水利通达，教化盛行。
dialog,scenes/LingNan.png,,avatar/WeiGuang.png,韦洸,夫人之功，可比大禹治水。陛下特颁嘉奖，赐布帛五千段，赞夫人“忠心朝廷，立功边陲”。
dialog,scenes/LingNan.png,,avatar/xianfuren.png,冼夫人,非我一人之功，乃岭南百姓同心，朝廷支持之果。陛下圣明，方有今日太平。
dialog,scenes/LingNan.png,,avatar/xianfuren.png,冼夫人,我该回高凉了，今后此地诸事，当交由地方贤良管理。冯盎、冯暄，你们要谨守职责，爱护百姓。
dialog,scenes/LingNan.png,,avatar/Farmer.png,岭南百姓,夫人今日一别，我们百姓日后有何所依靠？（献上万民伞）
dialog,scenes/LingNan.png,,avatar/xianfuren.png,冼夫人,（接过万民伞）我已留下《治岭南策》十卷，依策行事，岭南可保太平。若有大事，可来高凉寻我。
dialog,scenes/LingNan.png,,avatar/xianfuren.png,冼夫人,（打开金箧，陈列朝廷赐物）记住，这些是朝廷的赏赐，是我对天子尽忠所得酬报。你们要对天子尽赤心，对百姓尽仁心。
dialog,scenes/LingNan.png,,avatar/xianfuren.png,冼夫人,（眺望岭南）愿岭南永无战乱，百姓永享安乐。汉俚一家，永世和睦。
end,,,,,
